data;temp_avg;temp_min;temp_max;precip;Fim de semana;Consumo_CERVEJA
6/16/2015;14,82;12,1;18,1;9;FALSO;21.029
6/17/2015;19,8;13,9;25,1;0;FALSO;23.898
6/18/2015;;15,8;26,2;0;FALSO;24.534
6/19/2015;14,66;13,2;17,7;3,8;FALSO;16.748
6/20/2015;15,82;12,5;20,4;0;VERDADEIRO;23.055
6/21/2015;17,32;12,6;24,6;0;VERDADEIRO;28.857
6/22/2015;18,54;13,1;24,6;0;FALSO;23.022
6/23/2015;19,02;14,4;25,5;0;FALSO;27.146
6/24/2015;14,54;13,9;18;3,8;FALSO;17.241
6/25/2015;14,72;12,1;17,4;1;FALSO;19.463
6/26/2015;15,26;12;20,9;0;FALSO;21.860
6/27/2015;15,34;10,6;20,8;0;VERDADEIRO;24.227
6/28/2015;15,48;11,2;21,8;0;VERDADEIRO;27.594
6/29/2015;17,2;11;24,4;0;FALSO;24.863
6/30/2015;19,36;13,2;25,1;0;FALSO;20.161
07/01/2015;;16,2;20,5;0;FALSO;20.824
07/02/2015;17,2;15,1;19,9;1,6;FALSO;19.727
07/03/2015;17,52;15,6;18,4;17,8;FALSO;14.940
07/04/2015;14,94;10,9;21;15,2;VERDADEIRO;24.632
07/05/2015;12,9;11;14,5;4,4;VERDADEIRO;21.294
07/06/2015;15,78;11,3;20,6;0;FALSO;18.448
07/07/2015;16,8;13,3;20,2;0;FALSO;21.237
07/08/2015;17,02;14,9;18,7;4,5;FALSO;19.849
07/09/2015;17,54;15,3;20,4;0;FALSO;20.740
07/10/2015;19,24;14;25,4;0;FALSO;25.698
07/11/2015;17,46;16;19,8;0;VERDADEIRO;26.691
07/12/2015;20,32;14;27,4;3;VERDADEIRO;33.298
7/13/2015;22,06;16,7;28,7;0;FALSO;25.640
7/14/2015;23,3;18,4;29,3;0;FALSO;23.937
7/15/2015;20,18;17,2;27,6;0;FALSO;28.742
7/16/2015;19,88;16,2;25,8;0;FALSO;21.748
7/17/2015;19,14;15,8;24,3;0;FALSO;22.032
7/18/2015;20,2;18,2;23,8;0;VERDADEIRO;24.827
7/19/2015;19,98;14,6;25,9;0;VERDADEIRO;32.473
7/20/2015;20,56;14,9;25,1;0;FALSO;20.620
7/21/2015;16,72;14;21,4;0;FALSO;21.825
7/22/2015;14,52;12,8;16,1;0;FALSO;14.343
7/23/2015;17,02;13,6;20,6;0;FALSO;19.029
7/24/2015;18,46;14,3;25,8;0;FALSO;21.104
7/25/2015;15,9;14,9;17,9;16,6;VERDADEIRO;20.738
7/26/2015;16,82;13,6;22,9;2;VERDADEIRO;25.233
7/27/2015;16,6;11;24,2;0;FALSO;18.975
7/28/2015;16,46;11,6;24,5;0;FALSO;19.640
7/29/2015;16,2;11;23,8;0;FALSO;22.522
7/30/2015;16,76;11,3;26,7;0;FALSO;24.227
7/31/2015;19,24;12,8;26,6;0;FALSO;24.726
08/01/2015;19,78;14,3;26,4;0;VERDADEIRO;32.467
08/02/2015;20,1;13,8;26,3;0;VERDADEIRO;31.663
08/03/2015;21,16;14,9;26,9;0;FALSO;25.867
08/04/2015;21,04;15,2;27,4;0;FALSO;27.724
08/05/2015;20,96;15;27,2;0;FALSO;22.039
08/06/2015;21,06;16,3;27,7;0;FALSO;26.127
08/07/2015;22,08;15,5;28,9;0;FALSO;26.580
08/08/2015;21,16;16;27,8;0;VERDADEIRO;31.310
08/09/2015;19,62;15,6;26,2;0;VERDADEIRO;33.517
08/10/2015;21,2;15,6;28;0;FALSO;23.181
08/11/2015;19,6;15,2;27,2;0;FALSO;24.183
08/12/2015;20,12;14,1;26,6;0;FALSO;24.594
8/13/2015;20,42;14,1;28,1;0;FALSO;22.610
8/14/2015;20,86;15,3;27,6;0;FALSO;25.479
8/15/2015;21,44;15,6;27,8;0;VERDADEIRO;29.621
8/16/2015;20,56;16,2;27,2;0;VERDADEIRO;26.272
8/17/2015;21,58;15,3;28;0;FALSO;22.541
8/18/2015;21,3;16,7;26,5;0;FALSO;23.070
8/19/2015;20,74;17,3;28,3;0;FALSO;26.021
8/20/2015;16,2;14,8;19,6;0;FALSO;17.655
8/21/2015;16,84;13,2;22,1;1;FALSO;23.243
8/22/2015;18,08;14,1;26,2;0;VERDADEIRO;30.177
8/23/2015;20,22;13,5;30;0;VERDADEIRO;27.518
8/24/2015;16,98;15,1;20,5;0;FALSO;23.210
8/25/2015;16,98;14,3;20,5;2,4;FALSO;21.092
8/26/2015;18,92;14,8;;0,6;FALSO;23.357
8/27/2015;16,1;13,8;19,8;2,6;FALSO;17.888
8/28/2015;16,28;12,8;22,1;25;FALSO;22.217
8/29/2015;18,46;12,2;26,7;0;VERDADEIRO;31.681
8/30/2015;22,52;14,3;32;0;VERDADEIRO;31.833
8/31/2015;24,54;16,6;32,2;0;FALSO;28.441
09/01/2015;21,44;17,2;30,7;0;FALSO;22.389
09/02/2015;16,1;14,1;20,2;0,4;FALSO;20.681
09/03/2015;19,3;14,8;25;0;FALSO;24.222
09/04/2015;16,66;15,2;19,3;0;FALSO;19.345
09/05/2015;16,12;14,4;18,5;2,4;VERDADEIRO;21.827
09/06/2015;16,48;13,3;19,9;0;VERDADEIRO;23.566
09/07/2015;18,72;13,8;24,4;0,1;FALSO;20.227
09/08/2015;17,08;15,8;19,2;23,6;FALSO;17.075
09/09/2015;18,82;15,8;22,9;58;FALSO;16.977
09/10/2015;18,92;13,9;25,6;0;FALSO;21.525
09/11/2015;16,88;14,1;21,8;31,8;FALSO;21.454
09/12/2015;14;12,8;15,6;27,6;VERDADEIRO;21.814
9/13/2015;14,18;12,5;16,1;0;VERDADEIRO;21.252
9/14/2015;16,46;13;22,5;0,2;FALSO;20.464
9/15/2015;21,18;14,4;30,1;0;FALSO;30.775
9/16/2015;25,24;17,2;32,6;0;FALSO;25.343
9/17/2015;27,26;20,4;33;0;FALSO;33.930
9/18/2015;28,06;21,3;34,5;0;FALSO;26.311
9/19/2015;28;21,1;35,5;0;VERDADEIRO;31.836
9/20/2015;23,6;19,2;33,3;0;VERDADEIRO;34.695
9/21/2015;24,72;17,4;32,8;0;FALSO;29.829
9/22/2015;25,7;18,9;33,3;0;FALSO;26.362
9/23/2015;26,14;18,3;34;0;FALSO;32.589
9/24/2015;28,3;20,5;35,3;0;FALSO;30.345
9/25/2015;23,24;19,2;30,3;0;FALSO;29.411
9/26/2015;20,58;18,2;24,9;28,6;VERDADEIRO;29.637
9/27/2015;22,3;18,2;30,6;1,8;VERDADEIRO;32.184
9/28/2015;21,22;17,5;23,6;27,2;FALSO;17.731
9/29/2015;21,8;17,5;27,1;0;FALSO;24.114
9/30/2015;21,52;18,6;27,6;0;FALSO;28.034
10/01/2015;20,96;17,6;26,4;7,6;FALSO;22.664
10/02/2015;24,74;19,3;32,7;0;FALSO;27.488
10/03/2015;20,28;16,1;25;25;VERDADEIRO;24.876
10/04/2015;18,6;17,1;21,3;0,2;VERDADEIRO;24.862
10/05/2015;17,36;14,8;22,4;0;FALSO;24.679
10/06/2015;18,26;14,6;24,7;0;FALSO;22.304
10/07/2015;24,5;15,9;32,6;0;FALSO;30.329
10/08/2015;26,56;19,3;34;0;FALSO;33.182
10/09/2015;24,52;19,8;29;0;FALSO;23.849
10/10/2015;23,06;19,6;28;0,3;VERDADEIRO;33.330
10/11/2015;22,48;19,6;30;0;VERDADEIRO;34.496
10/12/2015;22,76;19;29,6;0;FALSO;26.249
10/13/2015;21,4;18,1;27,6;2,4;FALSO;26.523
10/14/2015;23,62;18,2;28,5;0;FALSO;26.793
10/15/2015;28,12;18,9;35,8;0;FALSO;35.861
10/16/2015;26,24;21,3;35,7;0;FALSO;27.387
10/17/2015;21,22;17,3;29,2;0;VERDADEIRO;32.666
10/18/2015;16,76;15,5;19,2;0,1;VERDADEIRO;22.199
10/19/2015;19,86;15,5;27,2;0;FALSO;24.000
10/20/2015;26,3;17,2;35,3;0;FALSO;27.871
10/21/2015;24,62;21,3;32;0;FALSO;31.139
10/22/2015;19,9;17,7;22,8;14,6;FALSO;23.065
10/23/2015;20,5;17,6;27,3;13,4;FALSO;26.594
10/24/2015;17,94;16,2;21,2;0;VERDADEIRO;27.657
10/25/2015;17,64;15,7;19,2;0;VERDADEIRO;26.594
10/26/2015;20,86;16;28,5;28,4;FALSO;28.084
10/27/2015;22;19,1;28,4;0,1;FALSO;27.582
10/28/2015;20,42;18,6;23,9;0;FALSO;24.862
10/29/2015;20,56;18,2;24,8;0;FALSO;22.634
10/30/2015;23,86;19,1;31,2;0;FALSO;31.649
10/31/2015;23,18;18,2;29,3;0;VERDADEIRO;35.781
11/01/2015;20,22;18,7;22,4;27,2;VERDADEIRO;24.429
11/02/2015;21,82;18,3;27,2;39,6;FALSO;20.648
11/03/2015;21,86;19,5;25,6;3,4;FALSO;22.741
11/04/2015;21,52;18,6;27,4;6,8;FALSO;21.479
11/05/2015;21,8;18,2;24,8;39,3;FALSO;23.134
11/06/2015;;18;22,8;0;FALSO;20.575
11/07/2015;18,3;16,8;20;1,2;VERDADEIRO;24.330
11/08/2015;20,24;17,4;23,9;0,6;VERDADEIRO;28.610
11/09/2015;22,98;18,7;29,5;4,4;FALSO;28.456
11/10/2015;23,72;19,4;31,8;10,4;FALSO;27.964
11/11/2015;;19,8;32,7;0;FALSO;29.569
11/12/2015;23,78;20,8;31,8;0;FALSO;29.267
11/13/2015;22,78;19,4;29,6;0;FALSO;28.647
11/14/2015;25,06;19,5;30,4;16,4;VERDADEIRO;26.836
11/15/2015;23,06;19,8;29,7;8;VERDADEIRO;29.386
11/16/2015;21,16;19,4;24,9;0;FALSO;24.609
11/17/2015;21,76;17,7;29,7;0;FALSO;26.964
11/18/2015;25,5;17,6;30,5;14,1;FALSO;23.614
11/19/2015;26,16;23,3;30,4;0;FALSO;22.960
11/20/2015;0;19,6;27;6,8;FALSO;20.332
11/21/2015;19,44;17,2;24,4;7,2;VERDADEIRO;30.392
11/22/2015;22,26;17,1;28,8;0;VERDADEIRO;31.933
11/23/2015;20,8;19,6;23,6;13,6;FALSO;21.662
11/24/2015;21,36;19,3;22,6;7;FALSO;21.689
11/25/2015;21,26;19,3;24,8;0,4;FALSO;25.119
11/26/2015;22,28;19;27,4;0;FALSO;25.285
11/27/2015;22,28;17,6;28,4;0;FALSO;28.979
11/28/2015;23,7;18,7;29,8;0;VERDADEIRO;34.382
11/29/2015;22,38;20,5;26;17,4;VERDADEIRO;30.617
11/30/2015;19,1;16,7;23,3;23,4;FALSO;20.238
12/01/2015;20,1;16,4;25,8;0;FALSO;24.529
12/02/2015;22,1;18,2;29,4;0;FALSO;30.471
12/03/2015;22,44;20,2;26,1;0;FALSO;28.405
12/04/2015;22,76;19;29,1;0;FALSO;29.513
12/05/2015;24,8;19,5;30,6;0,1;VERDADEIRO;32.451
12/06/2015;0;20,6;28;0,1;VERDADEIRO;32.780
12/07/2015;20,04;18;23,9;47,8;FALSO;23.375
12/08/2015;21,7;18;28;0;FALSO;27.713
12/09/2015;23,96;19,6;27,9;0;FALSO;27.137
12/10/2015;24;22,2;27,7;0;FALSO;22.933
12/11/2015;24,04;20,7;30,3;0;FALSO;30.740
12/12/2015;23,92;20,6;30,8;0;VERDADEIRO;29.579
12/13/2015;24,54;19,3;31;12,2;VERDADEIRO;29.188
12/14/2015;26,28;21,1;32,5;2;FALSO;28.131
12/15/2015;25,66;20,6;32,8;4;FALSO;28.617
12/16/2015;22,04;20,7;24,8;1,5;FALSO;21.062
12/17/2015;23,32;18,9;28,7;0;FALSO;24.337
12/18/2015;26,42;19,6;33,5;0,1;FALSO;27.042
12/19/2015;23,74;19,8;31,3;1,3;VERDADEIRO;32.536
12/20/2015;22,84;19,6;29;8,4;VERDADEIRO;30.127
12/21/2015;23,12;19,6;29,1;27,2;FALSO;24.834
12/22/2015;24,6;19,6;32,4;43;FALSO;26.828
12/23/2015;27,46;22,1;32,4;3;FALSO;26.468
12/24/2015;24,72;20,5;31,5;3,4;FALSO;31.572
12/25/2015;23,58;17,8;31;39;FALSO;26.308
12/26/2015;23,34;17,8;29,8;94,8;VERDADEIRO;21.955
12/27/2015;24;21,1;28,2;13,6;VERDADEIRO;32.307
12/28/2015;22,64;21,1;26,7;0;FALSO;26.095
12/29/2015;21,68;20,3;24,1;10,3;FALSO;22.309
12/30/2015;21,38;19,3;22,4;6,3;FALSO;20.467
12/31/2015;24,76;20,2;29;0;FALSO;22.446
