ClienteID;genero;Idoso;Parceiro;Dependentes;Tenure;ServiçoFone;Multiplas Linhas;Internet;SegurançaOnline;OnlineBackup;Proteção;SuporteTecnico;StreamingTV;StreamingMovies;Contrato;ContaDigital;MetododePagamento;TaxasMensais;Taxas Totais;Atrito
8773-HHUOZ;Mulher;0;Não;Sim;17;Sim;Não;DSL;Não;Não;Não;Não;Sim;Sim;Mês a Mês;Sim;Boleto;64.7;1093.1;Sim
3841-NFECX;Mulher;1;Sim;Não;71;Sim;Sim;Fibra Ótica;Sim;Sim;Sim;Sim;Não;Não;Dois anos;Sim;Cartão de Crédito;96.35;6766.95;Não
4929-XIHVW;Homem;1;Sim;Não;2;Sim;Não;Fibra Ótica;Não;Não;Sim;Não;Sim;Sim;Mês a Mês;Sim;Cartão de Crédito;95.5;181.65;Não
6827-IEAUQ;Mulher;0;Sim;Sim;27;Sim;Não;DSL;Sim;Sim;Sim;Sim;Não;Não;Um ano;Não;Boleto;66.15;1874.45;Não
7310-EGVHZ;Homem;0;Não;Não;1;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Mês a Mês;Não;Débito automatico;20.2;20.2;Não
3413-BMNZE;Homem;1;Não;Não;1;Sim;Não;DSL;Não;Não;Não;Não;Não;Não;Mês a Mês;Não;Débito automatico;45.25;45.25;Não
6234-RAAPL;Mulher;0;Sim;Sim;72;Sim;Sim;Fibra Ótica;Sim;Sim;Não;Sim;Sim;Não;Dois anos;Não;Débito automatico;99.9;7251.7;Não
6047-YHPVI;Homem;0;Não;Não;5;Sim;Não;Fibra Ótica;Não;Não;Não;Não;Não;Não;Mês a Mês;Sim;Pagamento digital;69.7;316.9;Sim
6572-ADKRS;Mulher;0;Não;Não;46;Sim;Não;Fibra Ótica;Não;Não;Sim;Não;Não;Não;Mês a Mês;Sim;Cartão de Crédito;74.8;3548.3;Não
5380-WJKOV;Homem;0;Não;Não;34;Sim;Sim;Fibra Ótica;Não;Sim;Sim;Não;Sim;Sim;Mês a Mês;Sim;Pagamento digital;106.35;3549.25;Sim
8168-UQWWF;Mulher;0;Não;Não;11;Sim;Sim;Fibra Ótica;Não;Não;Sim;Não;Sim;Sim;Mês a Mês;Sim;Débito automatico;97.85;1105.4;Sim
8865-TNMNX;Homem;0;Sim;Sim;10;Sim;Não;DSL;Não;Sim;Não;Não;Não;Não;Um ano;Não;Boleto;49.55;475.7;Não
9489-DEDVP;Mulher;0;Sim;Sim;70;Sim;Sim;DSL;Sim;Sim;Não;Não;Sim;Não;Dois anos;Sim;Cartão de Crédito;69.2;4872.35;Não
9867-JCZSP;Mulher;0;Sim;Sim;17;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Um ano;Não;Boleto;20.75;418.25;Não
4671-VJLCL;Mulher;0;Não;Não;63;Sim;Sim;DSL;Sim;Sim;Sim;Sim;Sim;Não;Dois anos;Sim;Cartão de Crédito;79.85;4861.45;Não
4080-IIARD;Mulher;0;Sim;Não;13;Sim;Sim;DSL;Sim;Sim;Não;Sim;Sim;Não;Mês a Mês;Sim;Pagamento digital;76.2;981.45;Não
3714-NTNFO;Mulher;0;Não;Não;49;Sim;Sim;Fibra Ótica;Não;Não;Não;Não;Não;Sim;Mês a Mês;Sim;Pagamento digital;84.5;3906.7;Não
5948-UJZLF;Homem;0;Não;Não;2;Sim;Não;DSL;Não;Sim;Não;Não;Não;Não;Mês a Mês;Não;Boleto;49.25;97;Não
7760-OYPDY;Mulher;0;Não;Não;2;Sim;Não;Fibra Ótica;Não;Não;Não;Não;Sim;Não;Mês a Mês;Sim;Pagamento digital;80.65;144.15;Sim
7639-LIAYI;Homem;0;Não;Não;52;Sim;Sim;DSL;Sim;Não;Não;Sim;Sim;Sim;Dois anos;Sim;Cartão de Crédito;79.75;4217.8;Não
2954-PIBKO;Mulher;0;Sim;Sim;69;Sim;Sim;DSL;Sim;Não;Sim;Sim;Não;Não;Dois anos;Sim;Cartão de Crédito;64.15;4254.1;Não
8012-SOUDQ;Mulher;1;Não;Não;43;Sim;Sim;Fibra Ótica;Não;Sim;Não;Não;Sim;Não;Mês a Mês;Sim;Pagamento digital;90.25;3838.75;Não
9420-LOJKX;Mulher;0;Não;Não;15;Sim;Não;Fibra Ótica;Sim;Sim;Não;Não;Sim;Sim;Mês a Mês;Sim;Cartão de Crédito;99.1;1426.4;Sim
6575-SUVOI;Mulher;1;Sim;Não;25;Sim;Sim;DSL;Sim;Não;Não;Sim;Sim;Não;Mês a Mês;Sim;Cartão de Crédito;69.5;1752.65;Não
7495-OOKFY;Mulher;1;Sim;Não;8;Sim;Sim;Fibra Ótica;Não;Sim;Não;Não;Não;Não;Mês a Mês;Sim;Cartão de Crédito;80.65;633.3;Sim
4667-QONEA;Mulher;1;Sim;Sim;60;Sim;Não;DSL;Sim;Sim;Sim;Sim;Não;Sim;Um ano;Sim;Cartão de Crédito;74.85;4456.35;Não
1658-BYGOY;Homem;1;Não;Não;18;Sim;Sim;Fibra Ótica;Não;Não;Não;Não;Sim;Sim;Mês a Mês;Sim;Pagamento digital;95.45;1752.55;Sim
8769-KKTPH;Mulher;0;Sim;Sim;63;Sim;Sim;Fibra Ótica;Sim;Não;Não;Não;Sim;Sim;Um ano;Sim;Cartão de Crédito;99.65;6311.2;Não
5067-XJQFU;Homem;1;Sim;Sim;66;Sim;Sim;Fibra Ótica;Não;Sim;Sim;Sim;Sim;Sim;Um ano;Sim;Pagamento digital;108.45;7076.35;Não
3957-SQXML;Mulher;0;Sim;Sim;34;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Dois anos;Não;Cartão de Crédito;24.95;894.3;Não
5954-BDFSG;Mulher;0;Não;Não;72;Sim;Sim;Fibra Ótica;Não;Não;Sim;Sim;Sim;Sim;Dois anos;Sim;Cartão de Crédito;107.5;7853.7;Não
0434-CSFON;Mulher;0;Sim;Não;47;Sim;Sim;Fibra Ótica;Não;Não;Sim;Não;Sim;Sim;Mês a Mês;Sim;Pagamento digital;100.5;4707.1;Não
1215-FIGMP;Homem;0;Não;Não;60;Sim;Sim;Fibra Ótica;Não;Sim;Não;Não;Sim;Não;Mês a Mês;Sim;Débito automatico;89.9;5450.7;Não
0526-SXDJP;Homem;0;Sim;Não;72;Não;Não;DSL;Sim;Sim;Sim;Não;Não;Não;Dois anos;Não;Débito automatico;42.1;2962;Não
0557-ASKVU;Mulher;0;Sim;Sim;18;Sim;Não;DSL;Não;Não;Sim;Sim;Não;Não;Um ano;Sim;Cartão de Crédito;54.4;957.1;Não
5698-BQJOH;Mulher;0;Não;Não;9;Sim;Sim;Fibra Ótica;Não;Não;Não;Não;Sim;Sim;Mês a Mês;Não;Pagamento digital;94.4;857.25;Sim
5122-CYFXA;Mulher;0;Não;Não;3;Sim;Não;DSL;Não;Sim;Não;Sim;Sim;Sim;Mês a Mês;Sim;Pagamento digital;75.3;244.1;Não
8627-ZYGSZ;Homem;0;Sim;Não;47;Sim;Sim;Fibra Ótica;Não;Sim;Não;Não;Não;Não;Um ano;Sim;Pagamento digital;78.9;3650.35;Não
3410-YOQBQ;Mulher;0;Não;Não;31;Sim;Não;DSL;Não;Sim;Sim;Sim;Sim;Sim;Dois anos;Não;Boleto;79.2;2497.2;Não
3170-NMYVV;Mulher;0;Sim;Sim;50;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Dois anos;Não;Débito automatico;20.15;930.9;Não
7410-OIEDU;Homem;0;Não;Não;10;Sim;Não;Fibra Ótica;Sim;Não;Sim;Não;Não;Não;Mês a Mês;Sim;Boleto;79.85;887.35;Não
2273-QCKXA;Homem;0;Não;Não;1;Sim;Não;DSL;Não;Não;Não;Sim;Não;Não;Mês a Mês;Não;Boleto;49.05;49.05;Não
0731-EBJQB;Mulher;0;Sim;Sim;52;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Um ano;Sim;Pagamento digital;20.4;1090.65;Não
1891-QRQSA;Homem;1;Sim;Sim;64;Sim;Sim;Fibra Ótica;Sim;Não;Sim;Sim;Sim;Sim;Dois anos;Sim;Débito automatico;111.6;7099;Não
8028-PNXHQ;Homem;0;Sim;Sim;62;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Dois anos;Sim;Débito automatico;24.25;1424.6;Não
5630-AHZIL;Mulher;0;Não;Sim;3;Sim;Não;DSL;Sim;Não;Não;Sim;Não;Sim;Mês a Mês;Sim;Débito automatico;64.5;177.4;Não
2673-CXQEU;Mulher;1;Não;Não;56;Sim;Sim;Fibra Ótica;Sim;Sim;Sim;Não;Sim;Sim;Um ano;Não;Pagamento digital;110.5;6139.5;Não
6416-JNVRK;Mulher;0;Não;Não;46;Sim;Não;DSL;Não;Não;Não;Não;Não;Sim;Um ano;Não;Cartão de Crédito;55.65;2688.85;Não
5590-ZSKRV;Mulher;0;Sim;Sim;8;Sim;Não;DSL;Sim;Sim;Não;Não;Não;Não;Mês a Mês;Não;Boleto;54.65;482.25;Não
0191-ZHSKZ;Homem;1;Não;Não;30;Sim;Não;DSL;Sim;Sim;Não;Não;Sim;Sim;Mês a Mês;Sim;Pagamento digital;74.75;2111.3;Não
3887-PBQAO;Mulher;0;Sim;Sim;45;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Um ano;Sim;Cartão de Crédito;25.9;1216.6;Não
5919-TMRGD;Mulher;0;Não;Sim;1;Sim;Não;Fibra Ótica;Não;Não;Não;Não;Sim;Não;Mês a Mês;Sim;Pagamento digital;79.35;79.35;Sim
8108-UXRQN;Mulher;0;Sim;Sim;11;Não;Não;DSL;Sim;Não;Não;Não;Sim;Sim;Mês a Mês;Não;Pagamento digital;50.55;565.35;Não
9191-MYQKX;Mulher;0;Sim;Não;7;Sim;Não;Fibra Ótica;Não;Não;Sim;Não;Não;Não;Mês a Mês;Sim;Débito automatico;75.15;496.9;Sim
9919-YLNNG;Mulher;0;Não;Não;42;Sim;Não;Fibra Ótica;Não;Sim;Sim;Sim;Sim;Sim;Mês a Mês;Sim;Débito automatico;103.8;4327.5;Não
0318-ZOPWS;Mulher;0;Sim;Não;49;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Dois anos;Sim;Débito automatico;20.15;973.35;Não
4445-ZJNMU;Homem;0;Não;Não;9;Sim;Sim;Fibra Ótica;Não;Sim;Não;Não;Sim;Sim;Mês a Mês;Sim;Cartão de Crédito;99.3;918.75;Não
4808-YNLEU;Mulher;0;Sim;Não;35;Sim;Não;DSL;Sim;Não;Não;Não;Sim;Não;Um ano;Sim;Débito automatico;62.15;2215.45;Não
1862-QRWPE;Mulher;0;Sim;Sim;48;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Dois anos;Não;Débito automatico;20.65;1057;Não
2796-NNUFI;Mulher;0;Sim;Sim;46;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Dois anos;Sim;Boleto;19.95;927.1;Não
3016-KSVCP;Homem;0;Sim;Não;29;Não;Não;DSL;Não;Não;Não;Não;Sim;Não;Mês a Mês;Não;Boleto;33.75;1009.25;Não
4767-HZZHQ;Homem;0;Sim;Sim;30;Sim;Não;Fibra Ótica;Não;Sim;Sim;Não;Não;Não;Mês a Mês;Não;Débito automatico;82.05;2570.2;Não
2424-WVHPL;Homem;1;Não;Não;1;Sim;Não;Fibra Ótica;Não;Não;Não;Sim;Não;Não;Mês a Mês;Não;Pagamento digital;74.7;74.7;Não
7233-PAHHL;Homem;0;Sim;Sim;66;Sim;Sim;DSL;Sim;Não;Sim;Sim;Sim;Sim;Dois anos;Sim;Boleto;84;5714.25;Não
6067-NGCEU;Mulher;0;Não;Não;65;Sim;Sim;Fibra Ótica;Sim;Sim;Sim;Não;Sim;Sim;Mês a Mês;Sim;Cartão de Crédito;111.05;7107;Não
9848-JQJTX;Homem;0;Não;Não;72;Sim;Sim;Fibra Ótica;Não;Sim;Sim;Não;Sim;Sim;Dois anos;Sim;Débito automatico;100.9;7459.05;Não
8637-XJIVR;Mulher;0;Não;Não;12;Sim;Sim;Fibra Ótica;Sim;Não;Não;Não;Não;Não;Mês a Mês;Sim;Pagamento digital;78.95;927.35;Sim
9803-FTJCG;Homem;0;Sim;Sim;71;Sim;Sim;DSL;Sim;Sim;Não;Sim;Não;Não;Um ano;Sim;Cartão de Crédito;66.85;4748.7;Não
0278-YXOOG;Homem;0;Não;Não;5;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Mês a Mês;Não;Boleto;21.05;113.85;Sim
3212-KXOCR;Homem;0;Não;Não;52;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Dois anos;Não;Débito automatico;21;1107.2;Não
4598-XLKNJ;Mulher;1;Sim;Não;25;Sim;Não;Fibra Ótica;Não;Sim;Sim;Não;Sim;Sim;Mês a Mês;Sim;Pagamento digital;98.5;2514.5;Sim
6380-ARCEH;Homem;0;Não;Não;1;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Mês a Mês;Não;Boleto;20.2;20.2;Não
3679-XASPY;Mulher;0;Sim;Sim;1;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Mês a Mês;Não;Pagamento digital;19.45;19.45;Não
7123-WQUHX;Homem;0;Não;Não;38;Sim;Sim;Fibra Ótica;Não;Não;Sim;Sim;Sim;Não;Um ano;Não;Débito automatico;95;3605.6;Não
5386-THSLQ;Mulher;1;Sim;Não;66;Não;Não;DSL;Não;Sim;Sim;Não;Sim;Não;Um ano;Não;Débito automatico;45.55;3027.25;Não
3192-NQECA;Homem;0;Sim;Não;68;Sim;Sim;Fibra Ótica;Não;Sim;Sim;Sim;Sim;Sim;Dois anos;Sim;Débito automatico;110;7611.85;Sim
6180-YBIQI;Homem;0;Não;Não;5;Não;Não;DSL;Não;Não;Não;Não;Não;Não;Mês a Mês;Não;Boleto;24.3;100.2;Não
6728-DKUCO;Mulher;0;Sim;Sim;72;Sim;Sim;Fibra Ótica;Sim;Sim;Não;Não;Sim;Sim;Um ano;Sim;Pagamento digital;104.15;7303.05;Não
9750-BOOHV;Mulher;0;Não;Não;32;Não;Não;DSL;Sim;Não;Não;Não;Não;Não;Um ano;Não;Boleto;30.15;927.65;Não
8597-CWYHH;Homem;0;Não;Não;43;Sim;Sim;Fibra Ótica;Não;Não;Não;Não;Sim;Sim;Um ano;Não;Boleto;94.35;3921.3;Não
2848-YXSMW;Homem;0;Sim;Sim;72;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Dois anos;Não;Cartão de Crédito;19.4;1363.25;Não
0486-HECZI;Homem;0;Sim;Não;55;Sim;Sim;Fibra Ótica;Sim;Sim;Não;Não;Sim;Não;Mês a Mês;Sim;Pagamento digital;96.75;5238.9;Sim
4549-ZDQYY;Mulher;0;Não;Não;52;Sim;Não;DSL;Sim;Não;Sim;Sim;Não;Não;Um ano;Não;Cartão de Crédito;57.95;3042.25;Não
5712-AHQNN;Mulher;0;Não;Não;43;Sim;Não;Fibra Ótica;Não;Sim;Sim;Não;Sim;Não;Mês a Mês;Sim;Pagamento digital;91.65;3954.1;Não
4846-WHAFZ;Mulher;1;Sim;Não;37;Sim;Sim;Fibra Ótica;Não;Não;Não;Não;Não;Não;Mês a Mês;Sim;Pagamento digital;76.5;2868.15;Sim
5256-SKJGO;Mulher;0;Sim;Sim;64;Não;Não;DSL;Não;Sim;Não;Sim;Sim;Sim;Dois anos;Sim;Pagamento digital;54.6;3423.5;Não
3071-VBYPO;Homem;0;Sim;Sim;3;Sim;Não;Fibra Ótica;Sim;Sim;Não;Não;Sim;Não;Mês a Mês;Não;Pagamento digital;89.85;248.4;Não
9560-BBZXK;Mulher;0;Não;Não;36;Não;Não;DSL;Sim;Não;Não;Não;Não;Não;Dois anos;Não;Débito automatico;31.05;1126.35;Não
5299-RULOA;Mulher;0;Sim;Sim;10;Sim;Sim;Fibra Ótica;Sim;Não;Não;Não;Sim;Sim;Mês a Mês;Sim;Pagamento digital;100.25;1064.65;Sim
8402-OOOHJ;Mulher;0;Não;Não;41;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Dois anos;Não;Boleto;20.65;835.15;Não
9445-ZUEQE;Homem;0;Sim;Sim;27;Sim;Sim;Fibra Ótica;Não;Sim;Não;Sim;Não;Não;Mês a Mês;Sim;Cartão de Crédito;85.2;2151.6;Não
1091-SOZGA;Mulher;0;Sim;Sim;56;Sim;Sim;Fibra Ótica;Não;Não;Sim;Não;Sim;Sim;Um ano;Sim;Cartão de Crédito;99.8;5515.45;Não
2928-HLDBA;Mulher;0;Não;Não;6;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Mês a Mês;Não;Boleto;20.7;112.75;Não
0404-SWRVG;Homem;0;Não;Não;3;Sim;Sim;Fibra Ótica;Não;Não;Não;Não;Não;Não;Mês a Mês;Sim;Pagamento digital;74.4;229.55;Sim
6497-TILVL;Mulher;0;Sim;Sim;7;Sim;Não;DSL;Sim;Não;Não;Não;Não;Não;Mês a Mês;Não;Boleto;50.7;350.35;Não
7219-TLZHO;Mulher;0;Sim;Sim;4;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Mês a Mês;Não;Boleto;20.85;62.9;Não
4622-YNKIJ;Homem;0;Não;Não;33;Sim;Não;Fibra Ótica;Sim;Não;Não;Sim;Sim;Não;Dois anos;Sim;Pagamento digital;88.95;3027.65;Não
4412-YLTKF;Mulher;1;Não;Não;27;Sim;Sim;Fibra Ótica;Não;Não;Sim;Não;Não;Não;Mês a Mês;Sim;Pagamento digital;78.05;2135.5;Sim
6734-PSBAW;Homem;0;Sim;Não;72;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Dois anos;Sim;Débito automatico;23.55;1723.95;Não
3930-ZGWVE;Homem;0;Não;Não;1;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Mês a Mês;Não;Boleto;19.75;19.75;Não
2639-UGMAZ;Homem;1;Não;Não;71;Não;Não;DSL;Sim;Sim;Não;Não;Sim;Sim;Um ano;Sim;Pagamento digital;56.45;3985.35;Não
2876-GZYZC;Mulher;0;Não;Não;13;Sim;Sim;Fibra Ótica;Não;Não;Não;Não;Não;Sim;Mês a Mês;Sim;Pagamento digital;85.95;1215.65;Não
6207-WIOLX;Mulher;0;Sim;Sim;25;Não;Não;DSL;Sim;Sim;Sim;Não;Sim;Sim;Mês a Mês;Sim;Cartão de Crédito;58.6;1502.65;Sim
8587-XYZSF;Homem;0;Não;Não;67;Sim;Não;DSL;Não;Não;Não;Sim;Não;Não;Dois anos;Não;Débito automatico;50.55;3260.1;Não
3091-FYHKI;Homem;0;Não;Não;1;Não;Não;DSL;Não;Não;Não;Não;Não;Sim;Mês a Mês;Sim;Pagamento digital;35.45;35.45;Sim
2372-HWUHI;Homem;0;Não;Não;2;Sim;Não;DSL;Não;Não;Não;Não;Não;Não;Mês a Mês;Não;Pagamento digital;44.35;81.25;Sim
7799-LGRDP;Mulher;0;Não;Não;43;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Dois anos;Sim;Cartão de Crédito;25.7;1188.2;Não
7850-VWJUU;Mulher;0;Não;Não;23;Sim;Não;Fibra Ótica;Sim;Não;Não;Não;Não;Não;Mês a Mês;Sim;Débito automatico;75;1778.5;Não
3774-VBNXY;Mulher;0;Sim;Sim;64;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Dois anos;Não;Boleto;20.2;1277.75;Não
6217-KDYWC;Homem;0;Não;Sim;57;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Dois anos;Sim;Boleto;19.6;1170.55;Não
0390-DCFDQ;Mulher;1;Sim;Não;1;Sim;Não;Fibra Ótica;Não;Não;Não;Não;Não;Não;Mês a Mês;Sim;Boleto;70.45;70.45;Sim
3146-MSEGF;Mulher;1;Sim;Sim;72;Sim;Sim;DSL;Sim;Sim;Sim;Sim;Sim;Sim;Dois anos;Sim;Cartão de Crédito;88.05;6425.65;Não
4080-OGPJL;Mulher;0;Não;Não;8;Sim;Sim;DSL;Sim;Não;Não;Sim;Não;Sim;Mês a Mês;Não;Pagamento digital;71.15;563.65;Sim
1095-WGNGG;Mulher;0;Sim;Não;61;Sim;Sim;Fibra Ótica;Não;Sim;Não;Não;Sim;Sim;Dois anos;Sim;Débito automatico;101.05;5971.25;Não
2636-SJDOU;Homem;0;Não;Não;64;Sim;Sim;Fibra Ótica;Sim;Sim;Não;Não;Não;Não;Um ano;Sim;Cartão de Crédito;84.3;5289.05;Não
1131-QQZEB;Homem;1;Sim;Não;71;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Dois anos;Não;Débito automatico;23.95;1756.2;Não
5716-EZXZN;Mulher;0;Sim;Sim;65;Sim;Sim;Fibra Ótica;Sim;Sim;Não;Sim;Sim;Não;Dois anos;Sim;Cartão de Crédito;99.05;6416.7;Não
6837-BJYDQ;Homem;0;Não;Não;3;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Um ano;Não;Boleto;19.6;61.35;Não
2135-RXIHG;Homem;0;Não;Não;1;Sim;Não;DSL;Não;Não;Não;Não;Não;Não;Mês a Mês;Sim;Pagamento digital;45.65;45.65;Sim
6440-DKQGE;Homem;0;Não;Sim;30;Sim;Não;DSL;Não;Sim;Sim;Não;Sim;Não;Um ano;Não;Cartão de Crédito;64.5;1929.95;Não
3466-BYAVD;Homem;0;Sim;Sim;15;Sim;Não;DSL;Não;Sim;Sim;Sim;Não;Sim;Mês a Mês;Sim;Boleto;69.5;1071.4;Não
3780-YVMFA;Mulher;0;Sim;Sim;8;Sim;Não;DSL;Não;Não;Não;Sim;Sim;Sim;Mês a Mês;Sim;Pagamento digital;68.55;564.35;Não
3874-EQOEP;Homem;0;Não;Não;7;Sim;Sim;Fibra Ótica;Não;Não;Não;Não;Sim;Sim;Mês a Mês;Não;Boleto;95;655.5;Sim
1679-JRFBR;Mulher;0;Sim;Sim;70;Sim;Sim;Fibra Ótica;Sim;Sim;Sim;Não;Sim;Sim;Um ano;Sim;Cartão de Crédito;108.15;7930.55;Não
9073-ZZIAY;Homem;0;Sim;Sim;62;Sim;Não;DSL;Sim;Sim;Sim;Sim;Sim;Sim;Dois anos;Não;Pagamento digital;86.1;5215.25;Não
3077-RSNTJ;Mulher;0;Sim;Sim;6;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Mês a Mês;Não;Boleto;19.7;113.5;Não
6551-GNYDG;Mulher;0;Sim;Sim;14;Sim;Não;Fibra Ótica;Não;Não;Não;Não;Não;Sim;Mês a Mês;Sim;Débito automatico;80.9;1152.8;Não
